Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS,ADANIPOWER.NS,GOOG,MRF.BO,SBIN.NS
Date,,,,,,,,,,,,,,,,,,,,
2023-05-22,49.58000183105469,124.9329833984375,95349.6328125,545.850341796875,49.58000183105469,126.10419937777996,95943.78240017281,548.8294780947019,48.599998474121094,122.53099295090551,95218.60265019303,542.3509866163723,48.79999923706055,122.59055143975256,95749.20054855752,546.1813376993675,11322090.0,29760200.0,136.0,21484049.0
2023-05-23,52.04999923706055,122.3721923828125,94925.6484375,550.0589599609375,52.04999923706055,124.48633328422034,95896.52058648666,552.0451085306911,52.04999923706055,122.13398113665644,94802.68177005318,545.5192825124204,52.04999923706055,123.99998311464368,95450.67116331316,547.5054310821739,4457480.0,24477900.0,129.0,16120548.0
2023-05-24,51.209999084472656,120.7344741821289,95182.8828125,551.099365234375,54.58000183105469,121.83621160982608,96936.15692338182,553.5110635776405,50.66999816894531,119.85110021903462,94925.64346260249,546.8906834921327,53.279998779296875,120.97268542869617,94925.64346260249,548.3566132517542,127012255.0,23087900.0,5286.0,17616658.0
2023-05-25,51.83000183105469,123.4242935180664,96240.1015625,549.72802734375,52.900001525878906,125.0421640734408,96547.84481200154,551.2885687049743,50.65999984741211,121.9850908551296,95233.74840046806,545.7085105846775,51.33000183105469,124.27789198256367,95627.74093929095,550.4373538306452,37327140.0,33812700.0,179.0,16479436.0
2023-05-26,51.61000061035156,124.49624633789062,97352.4375,554.2203979492188,52.7599983215332,125.06200271393067,97639.2871194761,555.875492994289,51.400001525878906,122.37217800871584,96296.62250862825,549.0659475495447,52.310001373291016,123.14141009548385,96296.62250862825,549.7279971125996,17182170.0,25154700.0,189.0,9788076.0
2023-05-29,51.279998779296875,,,562.7322998046875,52.34000015258789,,,564.056398894281,51.099998474121094,,,556.1591966905138,51.97999954223633,,,558.0034569491859,12909235.0,,,18432231.0
2023-05-30,50.220001220703125,123.71214294433594,96521.9609375,560.6516723632812,51.560001373291016,125.43918775739435,97466.80738049583,563.2052593916974,50.040000915527344,121.97517045386135,96459.85554341874,559.4221846014929,51.400001525878906,125.34986137844608,97237.53762408091,562.7323750429217,13836135.0,27230700.0,75.0,15031640.0
2023-05-31,49.93000030517578,122.45159149169922,96941.484375,559.060791015625,51.34000015258789,123.9702004025712,98037.4148385758,563.8333319426182,48.650001525878906,122.18359722942854,96251.14017078176,556.7950683886402,50.20000076293945,122.77912909627658,96515.94538670241,562.8691846380491,42976655.0,41548800.0,359.0,28797643.0
2023-06-01,50.83000183105469,123.44413757324219,97113.9140625,561.8568115234375,51.56999969482422,124.10914798021011,97499.94413268707,565.3759725346222,50.20000076293945,122.38210342823741,96713.65426064927,560.169553831175,50.5099983215332,122.58061151095687,97042.10446036127,560.9408598639765,21205810.0,25017700.0,286.0,17820226.0
2023-06-02,51.130001068115234,124.2977523803711,95935.8203125,566.1472778320312,52.2599983215332,125.8014736447889,97975.34511362918,567.7863399289043,50.650001525878906,123.42429852677995,95793.04090185178,562.0978476064854,51.11000061035156,123.56325571756055,97224.09307243717,563.7369097033585,20701110.0,19367500.0,255.0,11323908.0
2023-06-05,51.88999938964844,125.68732452392578,96334.4921875,566.1472778320312,53.0,127.03720087055406,96619.99659630275,568.6540371470996,50.91999816894531,123.45407421742149,95956.27679832971,564.9902893608927,51.34000015258789,123.68236535847436,95956.27679832971,567.4006574895654,29925445.0,22672500.0,114.0,12920507.0
2023-06-06,52.599998474121094,126.95779418945312,96137.671875,564.3635864257812,53.0,127.92057436157211,96731.57268277438,567.7863563449595,51.70000076293945,125.03223384521516,95190.8426079407,562.0978638580726,52.599998474121094,125.65754116559211,96642.9906565081,566.9186002547972,22897040.0,19450100.0,704.0,11199940.0
2023-06-07,54.970001220703125,122.0248031616211,97094.3203125,568.0755615234375,56.33000183105469,128.58559710467284,98696.30831826532,569.4253323416787,53.400001525878906,121.71710573773842,93564.62338003129,564.9902786080794,53.56999969482422,126.62529349121426,96312.65697421788,566.9185730743186,88162125.0,34179300.0,492.0,11113781.0
2023-06-08,55.83000183105469,121.75680541992188,96602.9765625,567.400634765625,57.20000076293945,122.80891960712718,98144.25872340471,572.6552488450642,54.790000915527344,121.10172259826479,96260.79427169065,565.3276947192347,55.959999084472656,121.67243909446749,96693.79802222487,568.7986599936411,55088100.0,24815000.0,438.0,15971917.0
2023-06-09,55.2400016784668,121.95531463623047,97923.296875,557.9520263671875,56.59000015258789,123.35978178041707,98136.93724254714,567.9791224774418,55.02000045776367,121.50866005312103,96843.0425324527,556.0719274568654,56.5,121.64761723739545,96843.0425324527,566.9185840392489,21036590.0,20304500.0,210.0,18870272.0
2023-06-12,54.310001373291016,123.4242935180664,98475.0390625,557.9038696289062,55.560001373291016,123.82131729244166,98833.64382599818,560.651665949061,53.720001220703125,121.43918221878879,97696.01185325785,556.9879179065606,55.400001525878906,122.47640105523767,98037.40097543626,559.2054449706885,20281495.0,22255700.0,261.0,8786066.0
2023-06-13,53.560001373291016,123.50369262695312,99517.9609375,555.7344970703125,54.900001525878906,124.92304742654909,99828.94664382424,560.5552333084419,53.380001068115234,122.92304851429088,98820.05874967884,553.6615569491656,54.52000045776367,124.71461166092148,99032.70379920749,558.6751344061959,14990335.0,19287700.0,506.0,12612098.0
2023-06-14,53.04999923706055,123.4540786743164,99544.84375,555.8790893554688,54.279998779296875,123.8610301574852,99831.6933728078,557.8073838698208,52.65999984741211,121.25061131999986,99032.71336622752,554.6257096905156,53.63999938964844,122.87840210747655,99729.42592257283,556.3129673905737,17649600.0,24659600.0,352.0,8948696.0
2023-06-15,53.849998474121094,124.85357666015625,99581.671875,546.1893920898438,54.83000183105469,125.22082497837408,100413.55134854974,556.0237053584534,53.04999923706055,122.22330266180371,99198.93095871362,544.9842080825846,53.31999969482422,122.95779172564072,99590.18638687138,555.3487905450132,24089840.0,24517100.0,257.0,17934877.0
2023-06-16,53.220001220703125,123.1364517211914,99510.8203125,550.7691040039062,54.599998474121094,125.75679803575493,100177.37057827548,554.0954237099354,52.959999084472656,122.86846502718774,99099.95425291937,546.7196738768654,54.20000076293945,125.75679803575493,99581.68127506474,548.3587359338673,18886465.0,56699200.0,178.0,12660226.0
2023-06-19,52.72999954223633,,99266.9609375,548.4551391601562,53.7400016784668,,100226.68249644995,552.215336970729,52.20000076293945,,99110.39500551386,545.6109518525627,53.380001068115234,,99978.2064916515,550.7691160969515,13911725.0,,334.0,17903691.0
2023-06-20,52.34000015258789,122.92801666259766,98916.859375,547.0571899414062,53.08000183105469,124.24315745229883,99789.09526611288,549.0336800950572,52.0099983215332,121.91561322392616,97883.13546995657,542.3810403275806,52.720001220703125,122.61536677986311,99654.77593095126,548.4551564192141,9793535.0,22698000.0,306.0,14549152.0
2023-06-21,52.130001068115234,120.3572998046875,99958.25,546.0447998046875,53.13999938964844,122.49129595900084,100426.14382684688,549.0818873383756,51.90999984741211,119.96027603160152,99217.54964828157,545.3699437722066,52.33000183105469,122.31759569183865,99278.55865506933,547.057201547171,13334825.0,22612000.0,471.0,14946871.0
